product_id,sku,product_name,category,brand,unit_price,cost_price,tax_rate,supplier_name,is_active,created_date
P00001,BOO-URB-00001,UrbanCart Cloud Architecture Basics,Books,UrbanCart,957.69,599.66,28,Pacific Imports,Y,2023-02-27
P00002,GRO-HOM-00002,HomeEase Breakfast Cereal,Grocery,HomeEase,473.19,276.97,28,Global Distributors,Y,2025-05-21
P00003,HOM-TEC-00003,TechPro LED Desk Lamp,Home & Kitchen,TechPro,1239.58,816.79,28,Northstar Traders,N,2022-12-21
P00004,HOM-GRE-00004,GreenLeaf Water Bottle Steel,Home & Kitchen,GreenLeaf,597.66,389.99,28,Bharat Supply Co,Y,2023-01-05
P00005,SPO-NOV-00005,Nova Yoga Mat,Sports,Nova,892.69,656.91,12,Pacific Imports,Y,2024-05-04
P00006,BOO-PRI-00006,PrimeWorks Cloud Architecture Basics,Books,PrimeWorks,1321.73,871.73,5,Pacific Imports,Y,2021-05-07
P00007,HOM-FRE-00007,FreshNest Mixer Grinder,Home & Kitchen,FreshNest,3150.76,2039.73,28,Metro Wholesale,Y,2022-11-22
P00008,BEA-NOV-00008,Nova Face Wash,Beauty,Nova,300.57,192.78,18,Pacific Imports,N,2020-02-20
P00009,BOO-NOV-00009,Nova Cloud Architecture Basics,Books,Nova,1116.34,652.04,5,Global Distributors,Y,2023-03-17
P00010,GRO-GRE-00010,GreenLeaf Green Tea Pack,Grocery,GreenLeaf,388.06,264.49,12,Bharat Supply Co,N,2021-08-12
P00011,GRO-GRE-00011,GreenLeaf Basmati Rice 5kg,Grocery,GreenLeaf,963.46,603.36,28,Bharat Supply Co,Y,2020-03-23
P00012,FAS-SWI-00012,SwiftRun Running Shoes,Fashion,SwiftRun,3578.69,2531.98,12,Metro Wholesale,Y,2024-12-19
P00013,SPO-PRI-00013,PrimeWorks Badminton Racket,Sports,PrimeWorks,1661.22,985.48,28,Northstar Traders,Y,2020-08-18
P00014,FAS-HOM-00014,HomeEase Sports T-shirt,Fashion,HomeEase,706.94,515.73,5,Metro Wholesale,Y,2022-04-02
P00015,GRO-BLU-00015,BluePeak Basmati Rice 5kg,Grocery,BluePeak,904.35,554.38,28,Global Distributors,Y,2022-09-17
P00016,HOM-SWI-00016,SwiftRun Bedsheet Cotton,Home & Kitchen,SwiftRun,1626.04,1025.13,18,Global Distributors,Y,2020-04-22
P00017,BOO-FRE-00017,FreshNest Python for Analytics,Books,FreshNest,996.95,703.72,28,Pacific Imports,Y,2020-02-06
P00018,HOM-APE-00018,Apex Dinner Set,Home & Kitchen,Apex,2347.83,1619.81,18,Northstar Traders,N,2023-11-29
P00019,FAS-HOM-00019,HomeEase Sports T-shirt,Fashion,HomeEase,824.63,528.87,18,Pacific Imports,Y,2023-05-07
P00020,FAS-BLU-00020,BluePeak Running Shoes,Fashion,BluePeak,3582.6,2185.61,18,Metro Wholesale,Y,2025-10-19
P00021,BEA-GRE-00021,GreenLeaf Perfume 100ml,Beauty,GreenLeaf,1447.36,1022.67,28,Bharat Supply Co,Y,2024-09-10
P00022,BOO-FRE-00022,FreshNest Business Strategy Casebook,Books,FreshNest,788.83,563.28,28,Bharat Supply Co,Y,2021-11-27
P00023,HOM-NOV-00023,Nova Water Bottle Steel,Home & Kitchen,Nova,621.95,448.06,12,Bharat Supply Co,Y,2022-06-29
P00024,FAS-BLU-00024,BluePeak Leather Wallet,Fashion,BluePeak,897.81,614.71,5,Northstar Traders,Y,2020-10-18
P00025,ELE-HOM-00025,HomeEase Power Bank 20000mAh,Electronics,HomeEase,1937.72,1089.84,12,Metro Wholesale,Y,2024-08-03
P00026,GRO-BLU-00026,BluePeak Olive Oil 1L,,BluePeak,1193.76,706.09,18,Metro Wholesale,Y,2020-08-25
P00027,BEA-PRI-00027,PrimeWorks Moisturizer,Beauty,PrimeWorks,576.74,382.15,5,Metro Wholesale,N,2024-10-24
P00028,GRO-APE-00028,Apex Basmati Rice 5kg,Grocery,Apex,849.75,610.16,18,Pacific Imports,Y,2020-03-14
P00029,HOM-BLU-00029,BluePeak Mixer Grinder,Home & Kitchen,BluePeak,3410.95,1956.6,18,Metro Wholesale,Y,2020-07-06
P00030,SPO-PRI-00030,PrimeWorks Dumbbell Set,Sports,PrimeWorks,3177.88,2064.81,12,Bharat Supply Co,N,2024-01-11
P00031,BEA-APE-00031,Apex Hair Serum,Beauty,Apex,375.61,269.41,5,Pacific Imports,Y,2021-05-19
P00032,ELE-TEC-00032,TechPro Power Bank 20000mAh,Electronics,TechPro,2315.84,1605.62,5,Global Distributors,Y,2020-07-16
