transaction_id,order_id,product_id,transaction_date,quantity,unit_price,discount_amount,tax_amount,total_amount,transaction_type,payment_status
T00000001,O0001481,P00151,2024-07-09 20:41:00,5,3089.68,137.6,1837.3,17148.1,Exchange,Refunded
T00000002,O0001469,P00246,2024-07-28 01:09:00,5,360.55,0.0,216.33,2019.08,Exchange,Authorized
T00000003,O0001076,P00395,2026-01-09 22:28:00,5,3081.54,56.81,767.54,16118.43,Sale,Failed
T00000004,O0000954,P00107,2026-01-04 02:21:00,1,656.25,47.81,170.36,778.8,Sale,Authorized
T00000005,O0000971,P00088,2024-08-20 00:44:00,2,350.14,74.64,31.28,656.92,Sale,Failed
T00000006,O0001472,P00124,2026-01-22 16:46:00,4,1134.84,88.07,1246.36,5697.65,Refund,Captured
T00000007,O0000284,P00185,2024-06-11 15:25:00,3,2217.51,84.75,788.13,7355.91,Refund,Authorized
T00000008,O0000804,P00454,2025-07-31 19:09:00,1,1848.03,58.28,322.15,2111.9,Sale,Settled
T00000009,O0000113,P00027,2024-05-04 08:21:00,5,576.74,57.02,791.47,3618.15,Sale,Authorized
T00000010,O0000381,P99999,2025-06-29 02:50:00,1,833.04,106.58,36.32,762.78,Refund,Failed
T00000011,O0001367,P00621,2024-09-01 10:15:00,2,1796.2,0.0,1005.87,4598.27,Sale,Settled
T00000012,O0000457,P00370,2023-07-01 01:06:00,2,358.44,93.55,74.8,698.13,Refund,Settled
T00000013,O0000599,P00594,2025-08-23 01:14:00,5,,0.0,670.56,3065.41,Refund,Refunded
T00000014,O0001131,P00201,2024-11-06 09:23:00,2,3097.65,0.0,743.44,6938.74,Refund,Failed
T00000015,O0000472,P00448,2024-09-30 23:19:00,5,525.43,28.32,467.79,3066.62,Refund,Captured
T00000016,O0000919,P00198,2024-07-16 04:55:00,5,797.61,0.0,199.4,4187.45,Sale,Authorized
T00000017,O0000546,P00458,2023-04-13 13:38:00,3,330.24,94.59,161.3,1057.43,Exchange,Refunded
T00000018,O0000276,P00122,not_a_date,1,1024.21,0.0,122.91,1147.12,Sale,Authorized
T00000019,O0001365,P00377,2023-06-11 13:35:00,5,2027.92,0.0,2839.09,12978.69,Refund,Refunded
T00000020,O0000636,P00032,2025-05-10 16:01:00,1,2315.84,0.0,416.85,2732.69,Sale,Captured
T00000021,O0000733,P00506,2023-09-03 11:17:00,3,2232.8,0.0,334.92,7033.32,Exchange,Captured
T00000022,O0000971,P00610,2023-05-17 07:24:00,1,296.27,149.12,7.36,154.51,Exchange,Captured
T00000023,O0000755,P00588,2026-03-13 00:56:00,3,732.6,0.0,109.89,2307.69,Sale,Authorized
T00000024,O0001356,P00222,not_a_date,4,1030.52,19.8,738.41,4840.69,Refund,Captured
T00000025,O0001195,P00424,2023-03-01 11:14:00,1,2715.27,0.0,325.83,3041.1,Sale,Settled
T00000026,O0001120,P00576,2023-03-30 08:26:00,5,2450.29,80.04,3407.99,15579.4,Sale,Authorized
T00000027,O0000431,P00167,2024-08-15 03:05:00,3,8089.55,0.0,6795.22,31063.87,Exchange,Authorized
T00000028,O0001319,P00594,2025-06-21 21:01:00,1,478.97,126.92,98.57,450.62,Sale,Refunded
T00000029,O0001033,P00388,2024-06-17 04:37:00,5,396.28,0.0,237.77,2219.17,Exchange,Refunded
T00000030,O0001106,P00650,2024-01-28 15:01:00,3,811.17,69.99,118.18,2481.7,Sale,Authorized
T00000031,O0001137,P00420,2023-05-07 14:16:00,5,2909.81,0.0,1745.89,16294.94,Sale,Settled
T00000032,O0000715,P00121,2024-05-12 22:54:00,3,1215.4,0.0,182.31,3828.51,Sale,Authorized
T00000033,O0000733,P00312,2024-01-29 21:16:00,1,519.0,146.55,44.69,417.14,Exchange,Settled
T00000034,O0000670,P00255,2023-06-10 08:17:00,5,638.45,0.0,893.83,4086.08,Exchange,Refunded
T00000035,O0000120,P00627,2023-08-09 15:51:00,2,2752.14,0.0,990.77,6495.05,Sale,Refunded
T00000036,O0001441,P00039,2025-04-22 02:08:00,5,698.34,0.0,419.0,3910.7,Exchange,Settled
T00000037,O0001305,P00062,2023-02-16 03:26:00,1,2811.2,0.0,337.34,3148.54,Sale,Failed
T00000038,O0000383,P00227,2025-03-06 16:19:00,5,482.23,148.43,271.53,2534.25,Sale,Captured
T00000039,O0000997,P00271,2024-12-02 23:39:00,5,937.06,0.0,234.26,4919.56,Sale,Captured
T00000040,O0001113,P00237,2023-02-23 22:32:00,4,4034.42,24.8,805.64,16918.52,Sale,Authorized
T00000041,O0000163,P00359,2025-02-03 10:21:00,4,2650.85,50.45,527.65,11080.6,Sale,Captured
T00000042,O0001284,P00326,2023-10-17 08:49:00,2,796.39,17.46,283.56,1858.88,Exchange,Refunded
T00000043,O0000318,P00633,2024-10-05 03:41:00,1,992.11,37.22,267.37,1222.26,Sale,Settled
T00000044,O0000228,P00251,2025-02-02 07:03:00,1,1353.72,136.34,146.09,1363.47,Sale,Captured
T00000045,O0000432,P00068,2024-07-31 07:29:00,3,1137.01,80.74,166.51,3496.8,Sale,Settled
T00000046,O0000283,P00137,2025-05-25 01:47:00,4,600.38,0.0,288.18,2689.7,Refund,Refunded
T00000047,O0000922,P00189,2023-06-09 02:13:00,3,707.89,46.8,373.84,2450.71,Sale,Refunded
T00000048,O0001435,P00458,2023-03-24 14:07:00,4,330.24,45.54,63.77,1339.19,Sale,Authorized
T00000049,O0001301,P00189,2023-01-17 23:18:00,2,707.89,0.0,396.42,1812.2,Exchange,Captured
T00000050,O0000284,P00216,2025-04-12 02:27:00,5,625.34,0.0,156.34,3283.04,Refund,Settled
T00000051,O0000847,P00597,2023-05-20 03:07:00,4,703.13,0.0,506.25,3318.77,Sale,Refunded
T00000052,O0000241,P00330,2025-04-03 09:08:00,3,2473.61,45.03,885.1,8260.9,Sale,Settled
T00000053,O0000585,P00386,2025-08-03 20:35:00,5,3100.73,14.23,2788.1,18277.52,Sale,Settled
T00000054,O0000135,P00070,2023-05-04 04:46:00,4,1603.04,60.51,317.58,6669.23,Sale,Captured
T00000055,O0000905,P00623,2024-09-25 17:48:00,2,917.94,36.42,323.9,2123.36,Sale,Refunded
T00000056,O0001078,P00173,2025-08-07 09:37:00,4,2215.3,54.02,2466.01,11273.19,Sale,Captured
T00000057,O0000497,P00650,2024-10-12 13:31:00,1,811.17,130.32,34.04,714.89,Sale,Settled
T00000058,O0000721,P00352,2023-05-05 15:57:00,4,980.55,98.04,1070.76,4894.92,Sale,Settled
T00000059,O0000041,P00073,2023-11-06 15:11:00,4,1357.29,142.81,264.32,5550.67,Sale,Refunded
T00000060,O0000918,P00131,2024-10-30 03:31:00,3,3867.82,0.0,1392.42,12995.88,Sale,Captured
T00000061,O0000319,P00277,2023-11-12 00:11:00,2,,0.0,161.61,1508.37,Sale,Refunded
T00000062,O0000771,P00349,2024-07-24 16:29:00,2,878.16,137.61,80.94,1699.65,Sale,Failed
T00000063,O0001175,P99999,2024-02-04 05:03:00,2,1205.34,80.47,652.46,2982.67,Sale,Failed
T00000064,O0001287,P00117,2023-09-17 06:25:00,3,599.39,37.67,316.89,2077.39,Sale,Authorized
T00000065,O0000068,P00551,2023-04-30 13:09:00,5,3149.21,31.17,2828.68,18543.56,Sale,Failed
T00000066,O0000969,P00605,2024-12-25 07:05:00,2,462.86,13.19,255.51,1168.04,Sale,Captured
T00000067,O0000588,P00223,2023-12-11 05:09:00,1,584.47,0.0,163.65,748.12,Exchange,Settled
T00000068,O0000820,P00499,2025-09-22 12:56:00,3,610.27,67.31,88.17,1851.67,Refund,Captured
T00000069,O0001057,P00059,2023-12-19 21:59:00,1,3141.2,70.66,552.7,3623.24,Sale,Captured
T00000070,O0000687,P00046,2024-05-10 20:11:00,3,1515.56,65.09,1254.85,5736.44,Exchange,Settled
T00000071,O0000225,P00174,2024-09-28 04:29:00,4,1271.88,93.27,898.97,5893.22,Refund,Authorized
T00000072,O0000610,P00391,2024-09-30 15:42:00,1,926.58,66.46,43.01,903.13,Refund,Settled
T00000073,O0000092,P00272,2025-07-27 01:21:00,2,1386.16,53.31,761.32,3480.33,Sale,Captured
T00000074,O0000562,P00407,2026-01-05 11:55:00,3,991.18,89.72,519.09,3402.91,Refund,Settled
T00000075,O0000361,P00191,2025-10-03 16:21:00,4,1210.77,0.0,242.15,5085.23,Refund,Captured
T00000076,O0000831,P00612,2024-12-14 07:34:00,3,665.04,64.58,231.66,2162.2,Refund,Failed
T00000077,O0001392,P00497,2025-12-02 16:55:00,2,,0.0,138.57,908.43,Exchange,Refunded
T00000078,O0000579,P00049,2025-11-13 06:25:00,5,6552.71,130.26,9137.32,41770.61,Exchange,Captured
T00000079,O0000832,P00392,2025-05-04 10:15:00,5,569.64,0.0,512.68,3360.88,Refund,Settled
T00000080,O0000838,P00017,2024-04-25 07:28:00,3,996.95,0.0,149.54,3140.39,Sale,Failed
T00000081,O0001022,P00583,2025-10-27 19:17:00,2,716.61,48.29,387.78,1772.71,Refund,Captured
T00000082,O0000505,P00405,2023-03-02 21:30:00,5,8401.89,35.71,7555.27,49529.01,Exchange,Settled
T00000083,O0001367,P00427,2025-12-30 17:46:00,1,1459.88,0.0,72.99,1532.87,Refund,Captured
T00000084,O0000619,P00338,2025-03-09 15:14:00,2,1221.04,0.0,293.05,2735.13,Refund,Captured
T00000085,O0000646,P00357,2026-03-30 06:49:00,2,384.92,0.0,215.56,985.4,Sale,Settled
T00000086,O0000809,P00347,2024-10-27 03:14:00,1,474.59,44.95,77.34,506.98,Sale,Settled
T00000087,O0000306,P00589,2023-05-15 21:05:00,4,892.79,0.0,999.92,4571.08,Sale,Failed
T00000088,O0000244,P00597,2023-04-22 13:59:00,1,703.13,20.74,122.83,805.22,Exchange,Settled
T00000089,O0000775,P00470,2025-02-15 13:37:00,4,3117.11,0.0,623.42,13091.86,Sale,Failed
T00000090,O0001453,P00588,2023-01-10 23:17:00,3,732.6,78.93,593.28,2712.15,Sale,Refunded
T00000091,O0000881,P00203,2023-10-30 05:09:00,1,2094.39,31.6,371.3,2434.09,Sale,Refunded
T00000092,O0001052,P00095,2023-08-01 14:20:00,5,2338.52,0.0,1403.11,13095.71,Sale,Refunded
T00000093,O0000031,P00519,2024-10-05 06:47:00,2,1569.15,15.03,562.19,3685.46,Refund,Captured
T00000094,O0000462,P00068,2025-02-18 07:59:00,4,1137.01,58.69,224.47,4713.82,Sale,Settled
T00000095,O0000433,P00249,2025-09-19 13:34:00,5,2451.32,0.0,612.83,12869.43,Sale,Failed
T00000096,O0001321,P00607,2025-11-15 09:22:00,3,1106.86,59.39,391.34,3652.53,Sale,Refunded
T00000097,O0000175,P00438,2023-08-07 09:20:00,2,937.29,0.0,224.95,2099.53,Sale,Refunded
T00000098,O0000457,P00425,2023-07-25 13:52:00,4,1666.94,88.6,1842.16,8421.32,Sale,Failed
T00000099,O0000486,P00392,2023-01-09 13:38:00,4,569.64,30.02,629.59,2878.13,Sale,Captured
T00000100,O0001219,P00310,2023-10-15 19:27:00,1,3433.54,28.04,953.54,4359.04,Sale,Refunded
T00000101,O0000134,P00631,2024-10-04 23:44:00,1,351.26,26.3,90.99,415.95,Sale,Authorized
T00000102,O0001245,P00148,2024-10-30 00:16:00,3,3263.19,0.0,1762.12,11551.69,Sale,Refunded
T00000103,O0000557,P00051,2025-09-03 10:18:00,2,826.59,15.64,458.51,2096.05,Sale,Refunded
T00000104,O0000729,P00064,2024-03-22 16:21:00,5,701.5,0.0,175.38,3682.88,Sale,Captured
T00000105,O0001266,P00635,2024-02-20 11:34:00,4,722.72,0.0,520.36,3411.24,Sale,Refunded
T00000106,O0000839,P00254,2023-10-18 10:45:00,5,1966.76,30.09,1176.45,10980.16,Refund,Captured
T00000107,O0001019,P00100,2025-01-29 06:40:00,1,1098.48,0.0,307.57,1406.05,Sale,Refunded
T00000108,O0000098,P00436,2024-06-23 17:26:00,5,1014.7,0.0,608.82,5682.32,Refund,Captured
T00000109,O0001286,P00284,2024-03-25 02:19:00,1,1110.9,0.0,199.96,1310.86,Sale,Settled
T00000110,O0000068,P00594,2026-01-31 11:31:00,4,478.97,16.18,227.96,2127.66,Sale,Captured
T00000111,O0001304,P00477,2025-02-17 07:03:00,1,727.95,0.0,203.83,931.78,Refund,Refunded
T00000112,O0000158,P00001,2024-08-02 00:31:00,5,957.69,86.67,235.09,4936.87,Refund,Authorized
T00000113,O0000243,P00065,2023-04-18 18:09:00,4,879.52,0.0,422.17,,Exchange,Authorized
T00000114,O0000729,P00046,2025-07-01 05:39:00,1,1515.56,0.0,272.8,1788.36,Sale,Captured
T00000115,O0001422,P00633,2024-10-03 12:59:00,1,992.11,21.12,174.78,1145.77,Sale,Captured
T00000116,O0001300,P00572,2023-05-16 18:58:00,5,356.01,102.49,301.96,1979.52,Sale,Refunded
T00000117,O0000085,P00121,2024-06-22 18:02:00,4,1215.4,29.05,869.86,5702.41,Sale,Authorized
T00000118,O0001281,P00200,2025-07-18 03:35:00,2,2529.67,86.36,248.65,5221.63,Exchange,Captured
