location_id,city,state,country,postal_code,region,currency,store_type,opened_date,is_active
L00001,Bangalore,Karnataka,India,560001,South,INR,Store,2021-01-31,Y
L00002,Mumbai,Maharashtra,India,400001,West,INR,Store,2018-05-11,Y
L00003,Delhi,Delhi,India,110001,North,INR,Store,2024-02-11,N
L00004,Hyderabad,Telangana,India,500001,South,INR,Store,2019-10-16,N
L00005,Chennai,Tamil Nadu,India,600001,South,INR,Pickup Point,2022-04-06,Y
L00006,Pune,Maharashtra,India,411001,West,INR,Pickup Point,2023-02-25,Y
L00007,Kolkata,West Bengal,India,700001,East,INR,Pickup Point,2022-01-21,Y
L00008,Ahmedabad,Gujarat,India,380001,West,INR,Warehouse,2018-11-23,Y
L00009,Jaipur,Rajasthan,India,302001,North,INR,Service Center,2022-02-03,Y
L00010,Lucknow,Uttar Pradesh,India,226001,North,INR,Pickup Point,2018-10-20,Y
L00011,New York,New York,United States,10001,Northeast,USD,Service Center,2024-03-31,Y
L00012,Los Angeles,California,United States,90001,West,USD,Store,2018-05-12,Y
L00013,Chicago,Illinois,United States,60601,Midwest,USD,Pickup Point,2023-08-07,N
L00014,London,England,United Kingdom,SW1A1AA,Europe,GBP,Warehouse,2020-10-07,Y
L00015,Manchester,England,United Kingdom,M11AE,Europe,GBP,Service Center,2019-07-21,N
L00016,Toronto,Ontario,Canada,M5H2N2,North America,CAD,Store,2019-10-18,N
L00017,Sydney,New South Wales,Australia,2000,Oceania,AUD,Service Center,2024-03-16,Y
L00018,Singapore,Central,Singapore,018956,Asia,SGD,Pickup Point,2021-10-25,Y
L00019,Dubai,Dubai,United Arab Emirates,00000,Middle East,AED,Store,2020-12-14,Y
L00020,Berlin,Berlin,Germany,10115,Europe,EUR,Pickup Point,2023-09-11,Y
L00021,Bangalore,Karnataka,India,560001,South,INR,Store,2023-06-25,Y
L00022,Mumbai,Maharashtra,India,400001,West,INR,Pickup Point,2020-09-13,Y
L00023,Delhi,Delhi,India,110001,North,INR,Store,2023-12-22,Y
L00024,Hyderabad,Telangana,India,500001,South,INR,Warehouse,2024-10-20,N
L00025,Chennai,Tamil Nadu,India,600001,South,INR,Warehouse,2022-06-23,Y
L00026,Pune,Maharashtra,India,411001,West,INR,Store,2018-09-20,Y
L00027,Kolkata,West Bengal,India,,East,INR,Warehouse,2018-08-30,Y
L00028,Ahmedabad,Gujarat,India,380001,West,INR,Pickup Point,2020-09-01,Y
L00029,Jaipur,Rajasthan,India,302001,North,INR,Warehouse,2024-05-27,N
L00030,Lucknow,Uttar Pradesh,India,226001,North,INR,Service Center,2019-02-02,N
L00031,New York,New York,United States,10001,Northeast,USD,Store,2019-02-08,Y
L00032,Los Angeles,California,United States,90001,West,USD,Store,2020-02-19,N
L00033,Chicago,Illinois,United States,60601,Midwest,USD,Service Center,2018-11-05,N
